datetime,datetime,random,year,month,day,sazonal,timeSeries
2022-01-01 00:00:00,2022-01-01 00:00:00,0.8083522462130481,2022,1,1,1.0,10.808352246213047
2022-01-01 01:00:00,2022-01-01 01:00:00,0.5395398217350525,2022,1,1,0.9999997588734665,10.539537410469718
2022-01-01 02:00:00,2022-01-01 02:00:00,0.08005706198072693,2022,1,1,0.9999990354939822,10.080047416920548
2022-01-01 03:00:00,2022-01-01 03:00:00,0.34991834316204373,2022,1,1,0.999997829861896,10.349896641781003
2022-01-01 04:00:00,2022-01-01 04:00:00,0.3157166426778275,2022,1,1,0.9999961419777894,10.31567806245572
2022-01-01 05:00:00,2022-01-01 05:00:00,0.6148585241381038,2022,1,1,0.9999939718424762,10.614798242562866
2022-01-01 06:00:00,2022-01-01 06:00:00,0.28814914559239,2022,1,1,0.9999913194570031,10.288062340162421
2022-01-01 07:00:00,2022-01-01 07:00:00,0.025370446892174825,2022,1,1,0.9999881848226492,10.025252295118667
2022-01-01 08:00:00,2022-01-01 08:00:00,0.5836826179169842,2022,1,1,0.9999845679409262,10.583528297326247
2022-01-01 09:00:00,2022-01-01 09:00:00,0.3329291262241191,2022,1,1,0.9999804688135782,10.332733814359901
2022-01-01 10:00:00,2022-01-01 10:00:00,0.5332298306026684,2022,1,1,0.9999758874425823,10.53298870502849
2022-01-01 11:00:00,2022-01-01 11:00:00,0.868771022586069,2022,1,1,0.9999708238301476,10.868479260887545
2022-01-01 12:00:00,2022-01-01 12:00:00,0.25021351365719713,2022,1,1,0.9999652779787161,10.24986629344436
2022-01-01 13:00:00,2022-01-01 13:00:00,0.21974065166505408,2022,1,1,0.9999592498909624,10.219333150574679
2022-01-01 14:00:00,2022-01-01 14:00:00,0.11501109605503279,2022,1,1,0.9999527395697936,10.114538491752969
2022-01-01 15:00:00,2022-01-01 15:00:00,0.21743901024436119,2022,1,1,0.9999457470183493,10.216896480427854
2022-01-01 16:00:00,2022-01-01 16:00:00,0.46209884724515005,2022,1,1,0.9999382722400014,10.461481569645164
2022-01-01 17:00:00,2022-01-01 17:00:00,0.38232924963087256,2022,1,1,0.9999303152383551,10.381632402014423
2022-01-01 18:00:00,2022-01-01 18:00:00,0.5104994275855985,2022,1,1,0.9999218760172474,10.509718187758072
2022-01-01 19:00:00,2022-01-01 19:00:00,0.11930638973632457,2022,1,1,0.999912954580748,10.118435935543806
2022-01-01 20:00:00,2022-01-01 20:00:00,0.8001572414929232,2022,1,1,0.9999035509331596,10.79919275082452
2022-01-01 21:00:00,2022-01-01 21:00:00,0.8854575623605822,2022,1,1,0.9998936650790171,10.884394213150753
2022-01-01 22:00:00,2022-01-01 22:00:00,0.254738726851204,2022,1,1,0.9998832970230879,10.253571697082084
2022-01-01 23:00:00,2022-01-01 23:00:00,0.3173568728681282,2022,1,1,0.9998724467703719,10.316081340571847
2022-01-02 00:00:00,2022-01-02 00:00:00,0.8503648512656677,2022,1,2,0.9998611143261019,10.848975994526688
2022-01-02 01:00:00,2022-01-02 01:00:00,0.7578834479390417,2022,1,2,0.9998492996957429,10.756376444896471
2022-01-02 02:00:00,2022-01-02 02:00:00,0.8407558819378989,2022,1,2,0.9998370028849926,10.839125910787825
2022-01-02 03:00:00,2022-01-02 03:00:00,0.974857806057245,2022,1,2,0.999824223899781,10.973100045055055
2022-01-02 04:00:00,2022-01-02 04:00:00,0.45002504020223044,2022,1,2,0.9998109627462709,10.44813466766494
2022-01-02 05:00:00,2022-01-02 05:00:00,0.2698389605334397,2022,1,2,0.9997972194308576,10.267811154842017
2022-01-02 06:00:00,2022-01-02 06:00:00,0.39095640029590417,2022,1,2,0.9997829939601689,10.388786339897592
2022-01-02 07:00:00,2022-01-02 07:00:00,0.6814899528657861,2022,1,2,0.999768286341065,10.679172816276434
2022-01-02 08:00:00,2022-01-02 08:00:00,0.4169831213468945,2022,1,2,0.9997530965806385,10.41451408715328
2022-01-02 09:00:00,2022-01-02 09:00:00,0.7093123985706781,2022,1,2,0.999737424686215,10.706686645432827
2022-01-02 10:00:00,2022-01-02 10:00:00,0.965690704639766,2022,1,2,0.9997212706653522,10.962903411293288
2022-01-02 11:00:00,2022-01-02 11:00:00,0.21525344255372736,2022,1,2,0.9997046345258405,10.212299787812132
2022-01-02 12:00:00,2022-01-02 12:00:00,0.2691606104747116,2022,1,2,0.9996875162757026,10.266035773231739
