datetime,datetime,year,month,day,random,sazonal,timeSeries
2004-01-01 00:00:00,2004-01-01 00:00:00,2004,1,1,0.49715962745477915,1.0,10.49715962745478
2004-01-01 01:00:00,2004-01-01 01:00:00,2004,1,1,0.05217593996422476,0.9999997588734665,10.05217352869889
2004-01-01 02:00:00,2004-01-01 02:00:00,2004,1,1,0.02278868062309869,0.9999990354939822,10.022779035562921
2004-01-01 03:00:00,2004-01-01 03:00:00,2004,1,1,0.6746036023535145,0.999997829861896,10.674581900972473
2004-01-01 04:00:00,2004-01-01 04:00:00,2004,1,1,0.8398773322290356,0.9999961419777894,10.839838752006928
2004-01-01 05:00:00,2004-01-01 05:00:00,2004,1,1,0.7038673979112456,0.9999939718424762,10.703807116336009
2004-01-01 06:00:00,2004-01-01 06:00:00,2004,1,1,0.38064323032153546,0.9999913194570031,10.380556424891566
2004-01-01 07:00:00,2004-01-01 07:00:00,2004,1,1,0.4928577940981659,0.9999881848226492,10.492739642324658
2004-01-01 08:00:00,2004-01-01 08:00:00,2004,1,1,0.6824570758556621,0.9999845679409262,10.682302755264924
2004-01-01 09:00:00,2004-01-01 09:00:00,2004,1,1,0.3156442639813506,0.9999804688135782,10.315448952117134
2004-01-01 10:00:00,2004-01-01 10:00:00,2004,1,1,0.22507637226921007,0.9999758874425823,10.224835246695033
2004-01-01 11:00:00,2004-01-01 11:00:00,2004,1,1,0.3288207529852458,0.9999708238301476,10.328528991286722
2004-01-01 12:00:00,2004-01-01 12:00:00,2004,1,1,0.29729064392694804,0.9999652779787161,10.29694342371411
2004-01-01 13:00:00,2004-01-01 13:00:00,2004,1,1,0.7704715492335148,0.9999592498909624,10.770064048143139
2004-01-01 14:00:00,2004-01-01 14:00:00,2004,1,1,0.6939167149098792,0.9999527395697936,10.693444110607814
2004-01-01 15:00:00,2004-01-01 15:00:00,2004,1,1,0.7257178856721874,0.9999457470183493,10.725175355855681
2004-01-01 16:00:00,2004-01-01 16:00:00,2004,1,1,0.06326693446994869,0.9999382722400014,10.062649656869963
2004-01-01 17:00:00,2004-01-01 17:00:00,2004,1,1,0.7015448017554243,0.9999303152383551,10.700847954138975
2004-01-01 18:00:00,2004-01-01 18:00:00,2004,1,1,0.13764246565084715,0.9999218760172474,10.13686122582332
2004-01-01 19:00:00,2004-01-01 19:00:00,2004,1,1,0.16491262433027876,0.999912954580748,10.16404217013776
2004-01-01 20:00:00,2004-01-01 20:00:00,2004,1,1,0.4684045776995287,0.9999035509331596,10.467440087031125
2004-01-01 21:00:00,2004-01-01 21:00:00,2004,1,1,0.4159935413947786,0.9998936650790171,10.414930192184949
2004-01-01 22:00:00,2004-01-01 22:00:00,2004,1,1,0.20453609623631397,0.9998832970230879,10.203369066467193
2004-01-01 23:00:00,2004-01-01 23:00:00,2004,1,1,0.5777805813599195,0.9998724467703719,10.576505049063638
2004-01-02 00:00:00,2004-01-02 00:00:00,2004,1,2,0.48252735755054743,0.9998611143261019,10.481138500811566
2004-01-02 01:00:00,2004-01-02 01:00:00,2004,1,2,0.43658074571725236,0.9998492996957429,10.435073742674682
2004-01-02 02:00:00,2004-01-02 02:00:00,2004,1,2,0.04854628672381378,0.9998370028849926,10.04691631557374
2004-01-02 03:00:00,2004-01-02 03:00:00,2004,1,2,0.7156725134077148,0.999824223899781,10.713914752405524
2004-01-02 04:00:00,2004-01-02 04:00:00,2004,1,2,0.34538251369234585,0.9998109627462709,10.343492141155055
2004-01-02 05:00:00,2004-01-02 05:00:00,2004,1,2,0.1255805016872914,0.9997972194308576,10.123552695995869
2004-01-02 06:00:00,2004-01-02 06:00:00,2004,1,2,0.2575954450130181,0.9997829939601689,10.255425384614707
2004-01-02 07:00:00,2004-01-02 07:00:00,2004,1,2,0.5697559647344865,0.999768286341065,10.567438828145136
2004-01-02 08:00:00,2004-01-02 08:00:00,2004,1,2,0.7644450614967405,0.9997530965806385,10.761976027303126
2004-01-02 09:00:00,2004-01-02 09:00:00,2004,1,2,0.746777327574715,0.999737424686215,10.744151574436865
2004-01-02 10:00:00,2004-01-02 10:00:00,2004,1,2,0.6372442488450077,0.9997212706653522,10.63445695549853
2004-01-02 11:00:00,2004-01-02 11:00:00,2004,1,2,0.7382661313489387,0.9997046345258405,10.735312476607342
2004-01-02 12:00:00,2004-01-02 12:00:00,2004,1,2,0.8487821031359966,0.9996875162757026,10.845657265893024
2004-01-02 13:00:00,2004-01-02 13:00:00,2004,1,2,0.25187714388447846,0.9996699159231939,10.248576303116417
2004-01-02 14:00:00,2004-01-02 14:00:00,2004,1,2,0.15827901530083976,0.9996518334768022,10.154797350068861
2004-01-02 15:00:00,2004-01-02 15:00:00,2004,1,2,0.09302665769661722,0.9996332689452478,10.089359347149095
2004-01-02 16:00:00,2004-01-02 16:00:00,2004,1,2,0.25900961539908574,0.9996142223374836,10.255151838773921
2004-01-02 17:00:00,2004-01-02 17:00:00,2004,1,2,0.24695059569878774,0.9995946936626949,10.242897532325738
2004-01-02 18:00:00,2004-01-02 18:00:00,2004,1,2,0.48297585935491016,0.9995746829302993,10.478722688657903
2004-01-02 19:00:00,2004-01-02 19:00:00,2004,1,2,0.23435267910526736,0.9995541901499472,10.22989458060474
2004-01-02 20:00:00,2004-01-02 20:00:00,2004,1,2,0.9957248742352903,0.9995332153315211,10.9910570275505
2004-01-02 21:00:00,2004-01-02 21:00:00,2004,1,2,0.8470178616924089,0.9995117584851364,10.842135446543773
2004-01-02 22:00:00,2004-01-02 22:00:00,2004,1,2,0.3247853551389611,0.9994898196211406,10.319683551350366
2004-01-02 23:00:00,2004-01-02 23:00:00,2004,1,2,0.8636471214905234,0.9994673987501137,10.85832110899166
2004-01-03 00:00:00,2004-01-03 00:00:00,2004,1,3,0.17048671328134457,0.9994444958828685,10.16493167211003
2004-01-03 01:00:00,2004-01-03 01:00:00,2004,1,3,0.19155591436513952,0.9994211110304497,10.185767024669637
2004-01-03 02:00:00,2004-01-03 02:00:00,2004,1,3,0.020808362091940258,0.999397244204135,10.014780804133292
2004-01-03 03:00:00,2004-01-03 03:00:00,2004,1,3,0.8926177777582709,0.999372895415434,10.88634673191261
2004-01-03 04:00:00,2004-01-03 04:00:00,2004,1,3,0.6944077099614075,0.999348064676089,10.687888356722297
2004-01-03 05:00:00,2004-01-03 05:00:00,2004,1,3,0.7631136195857231,0.999322751998075,10.756341139566473
2004-01-03 06:00:00,2004-01-03 06:00:00,2004,1,3,0.46116969704795696,0.9992969573935987,10.454139270983944
2004-01-03 07:00:00,2004-01-03 07:00:00,2004,1,3,0.8479741275895429,0.9992706808750998,10.840680936340542
2004-01-03 08:00:00,2004-01-03 08:00:00,2004,1,3,0.17756373564791528,0.9992439224552503,10.170002960200417
2004-01-03 09:00:00,2004-01-03 09:00:00,2004,1,3,0.2753544949583948,0.9992166821469545,10.267521316427938
2004-01-03 10:00:00,2004-01-03 10:00:00,2004,1,3,0.8637701169696562,0.999188959963349,10.855659716603146
2004-01-03 11:00:00,2004-01-03 11:00:00,2004,1,3,0.5095329359138762,0.9991607559178031,10.501140495091907
2004-01-03 12:00:00,2004-01-03 12:00:00,2004,1,3,0.9128248000945506,0.9991320700239181,10.904145500333733
2004-01-03 13:00:00,2004-01-03 13:00:00,2004,1,3,0.4263138689331625,0.9991029022955281,10.417342891888444
2004-01-03 14:00:00,2004-01-03 14:00:00,2004,1,3,0.9463190868119297,0.9990732527466991,10.93705161427892
2004-01-03 15:00:00,2004-01-03 15:00:00,2004,1,3,0.423241590989605,0.9990431213917298,10.413672804906902
2004-01-03 16:00:00,2004-01-03 16:00:00,2004,1,3,0.8696550848600026,0.9990125082451511,10.859780167311515
2004-01-03 17:00:00,2004-01-03 17:00:00,2004,1,3,0.506234968379619,0.9989814133217262,10.496049101596881
2004-01-03 18:00:00,2004-01-03 18:00:00,2004,1,3,0.9680014126590859,0.9989498366364509,10.957499779023594
2004-01-03 19:00:00,2004-01-03 19:00:00,2004,1,3,0.4719183525782479,0.998917778204553,10.461096134623778
2004-01-03 20:00:00,2004-01-03 20:00:00,2004,1,3,0.40064613598302534,0.9988852380414929,10.389498516397955
2004-01-03 21:00:00,2004-01-03 21:00:00,2004,1,3,0.23068328051995124,0.998852216162963,10.219205442149581
2004-01-03 22:00:00,2004-01-03 22:00:00,2004,1,3,0.3903731176666425,0.9988187125848885,10.378560243515528
2004-01-03 23:00:00,2004-01-03 23:00:00,2004,1,3,0.7087285422259951,0.9987847273234264,10.696575815460259
2004-01-04 00:00:00,2004-01-04 00:00:00,2004,1,4,0.5415503164126699,0.9987502603949663,10.529052920362332
